NBR,AIRLINES,ACTIONCODE,ARR,DEP,From,To,DOS,OverN,SEATS,TYPE,ORR,PRE,ETA_R,ETD_R,ETA_C,ETD_C,NEX,DES,SERVICE TYPE,1,2,3,4,5,6,7
1025,VN,K,143,,2024-03-31,2024-06-05,1030000,0,178,321,DAD,DAD,13:30,,13:30,,,,J,1,,3,,,,
1026,VN,K,143,,2024-03-31,2024-06-02,0004000,0,178,321,DAD,DAD,13:30,,13:30,,,,J,,,,4,,,
1027,VN,K,143,,2024-03-31,2024-06-02,0000500,0,178,321,DAD,DAD,13:30,,13:30,,,,J,,,,,5,,
1028,VN,K,143,,2024-03-31,2024-06-02,0000060,0,178,321,DAD,DAD,13:30,,13:30,,,,J,,,,,,6,
1029,VN,K,,270,2024-03-31,2024-10-26,1234567,0,311,789,,,,16:00,,16:00,HAN,HAN,J,1,2,3,4,5,6,7
1030,VN,K,1405,,2024-03-31,2024-10-20,1234507,0,203,321,VDH,VDH,4:35,,4:35,,,,J,1,2,3,4,5,,7
1031,VN,K,,1392,2024-03-31,2024-10-26,1234507,0,184,321,,,,0:00,,0:00,UIH,UIH,J,1,2,3,4,5,,7
1032,VN,K,1269,,2024-03-31,2024-10-26,1204000,0,184,321,VII,VII,16:55,,16:55,,,,J,1,2,,4,,,
1033,VN,K,1269,,2024-03-31,2024-10-26,0000060,0,184,321,VII,VII,16:55,,16:55,,,,J,,,,,,6,
1034,VN,K,1892,,2024-03-31,2024-10-26,1234567,0,68,AT7,VCS,VCS,3:15,,3:15,,,,J,1,2,3,4,5,6,7
1035,VN,K,135,,2024-03-31,2024-07-01,1000000,0,184,321,DAD,DAD,12:15,,12:15,,,,J,1,,,,,,
1036,VN,K,,122,2024-03-31,2024-10-26,1234507,0,184,321,,,,3:30,,3:30,DAD,DAD,J,1,2,3,4,5,,7
1037,VN,K,,252,2024-03-31,2024-10-20,0000007,0,311,789,,,,9:40,,9:40,HAN,HAN,J,,,,,,,7
1038,VN,K,,1188,2024-03-31,2024-10-26,0000007,0,184,321,,,,13:30,,13:30,HPH,HPH,J,,,,,,,7
1039,VN,K,,1188,2024-03-31,2024-09-04,0204000,0,184,321,,,,13:30,,13:30,HPH,HPH,J,,2,,4,,,
1040,VN,K,,1188,2024-03-31,2024-10-26,1030060,0,184,321,,,,13:30,,13:30,HPH,HPH,J,1,,3,,,6,
1041,VN,K,,1835,2024-03-31,2024-10-26,0000060,0,184,321,,,,10:10,,10:10,PQC,PQC,J,,,,,,6,
1042,VN,K,1355,,2024-03-31,2024-09-04,1234567,0,184,321,CXR,CXR,16:15,,16:15,,,,J,1,2,3,4,5,6,7
1043,VN,K,,1386,2024-03-31,2024-10-26,0200000,0,184,321,,,,9:20,,9:20,DLI,DLI,J,,2,,,,,
1044,VN,K,1379,,2024-03-31,2024-09-04,1200000,0,184,321,HUI,HUI,16:55,,16:55,,,,J,1,2,,,,,
1045,VN,K,1379,,2024-03-31,2024-09-01,0004000,0,184,321,HUI,HUI,16:55,,16:55,,,,J,,,,4,,,
1046,VN,K,,1891,2024-03-31,2024-10-26,0004000,0,68,AT7,,,,22:15,,22:15,VCS,VCS,J,,,,4,,,
1047,VN,K,,1891,2024-03-31,2024-06-25,0200000,0,68,AT7,,,,22:15,,22:15,VCS,VCS,J,,2,,,,,
1048,VN,K,1351,,2024-03-31,2024-10-26,0000500,0,184,321,CXR,CXR,15:10,,15:10,,,,J,,,,,5,,
1049,VN,K,1351,,2024-03-31,2024-06-06,0000007,0,184,321,CXR,CXR,15:05,,15:05,,,,J,,,,,,,7
1050,VN,K,7109,,2024-03-31,2024-10-26,0000007,0,178,321,DAD,DAD,11:40,,11:40,,,,G,,,,,,,7
1051,VN,K,1387,,2024-03-31,2024-10-26,1000000,0,184,321,DLI,DLI,12:15,,12:15,,,,J,1,,,,,,
1052,VN,K,223,,2024-03-31,2024-05-16,1234567,0,367,781,HAN,HAN,18:15,,18:15,,,,J,1,2,3,4,5,6,7
1053,VN,K,1279,,2024-03-31,2024-10-26,1234567,0,184,321,THD,THD,15:50,,15:50,,,,J,1,2,3,4,5,6,7
1054,VN,K,1351,,2024-03-31,2024-05-16,1204060,0,184,321,CXR,CXR,15:10,,15:10,,,,J,1,2,,4,,6,
1055,VN,K,,1414,2024-03-31,2024-10-26,1234560,0,203,321,,,,11:15,,11:15,BMV,BMV,J,1,2,3,4,5,6,
1056,VN,K,249,,2024-03-31,2024-05-16,0000007,0,311,789,HAN,HAN,10:45,,10:45,,,,J,,,,,,,7
1057,VN,K,,1859,2024-03-31,2024-10-26,0000007,0,68,AT7,,,,5:05,,5:05,VCS,VCS,J,,,,,,,7
1058,VN,K,,1859,2024-03-31,2024-10-26,1234560,0,68,AT7,,,,5:05,,5:05,VCS,VCS,J,1,2,3,4,5,6,
1059,VN,K,1265,,2024-03-31,2024-10-20,0000007,0,184,321,VII,VII,8:45,,8:45,,,,J,,,,,,,7
1060,VN,K,1273,,2024-03-31,2024-05-16,0000007,0,184,321,THD,THD,4:40,,4:40,,,,J,,,,,,,7
1061,VN,K,,1344,2024-03-31,2024-10-20,0000007,0,184,321,,,,5:15,,5:15,CXR,CXR,J,,,,,,,7
1062,VN,K,,1376,2024-03-31,2024-05-16,0000007,0,184,321,,,,12:10,,12:10,HUI,HUI,J,,,,,,,7
1063,VN,K,1377,,2024-03-31,2024-05-16,0000007,0,184,321,HUI,HUI,16:05,,16:05,,,,J,,,,,,,7
1064,VN,K,1375,,2024-03-31,2024-10-26,0000500,0,184,321,HUI,HUI,12:25,,12:25,,,,J,,,,,5,,
1065,VN,K,,1891,2024-03-31,2024-09-29,0000007,0,68,AT7,,,,22:15,,22:15,VCS,VCS,J,,,,,,,7
1066,VN,K,,142,2024-03-31,2024-05-30,0004000,0,178,321,,,,14:15,,14:15,DAD,DAD,J,,,,4,,,
1067,VN,K,,142,2024-03-31,2024-06-05,0030000,0,178,321,,,,14:15,,14:15,DAD,DAD,J,,,3,,,,
1068,VN,K,,1893,2024-03-31,2024-08-31,0000060,0,68,AT7,,,,1:05,,1:05,VCS,VCS,J,,,,,,6,
1069,VN,K,,122,2024-03-31,2024-10-26,0000060,0,184,321,,,,3:30,,3:30,DAD,DAD,J,,,,,,6,
1070,VN,K,,1372,2024-03-31,2024-10-20,0000007,0,184,321,,,,4:25,,4:25,HUI,HUI,J,,,,,,,7
1071,VN,K,1828,,2024-03-31,2024-05-16,0000007,0,184,321,PQC,PQC,11:45,,11:45,,,,J,,,,,,,7
1072,VN,K,,1885,2024-03-31,2024-10-20,0000007,0,68,AT7,,,,8:10,,8:10,VCS,VCS,J,,,,,,,7
1073,VN,K,,1182,2024-03-31,2024-10-20,0000007,0,203,321,,,,5:25,,5:25,HPH,HPH,J,,,,,,,7
1074,VN,K,119,,2024-03-31,2024-10-20,0000007,0,184,321,DAD,DAD,6:05,,6:05,,,,J,,,,,,,7
1075,VN,K,,138,2024-03-31,2024-10-26,1000000,0,184,321,,,,9:00,,9:00,DAD,DAD,J,1,,,,,,
1076,VN,K,1345,,2024-03-31,2024-10-20,0000007,0,184,321,CXR,CXR,8:25,,8:25,,,,J,,,,,,,7
1077,VN,K,,1404,2024-03-31,2024-10-20,0000007,0,203,321,,,,0:20,,0:20,VDH,VDH,J,,,,,,,7
1078,VN,K,,1821,2024-03-31,2024-05-16,0000007,0,203,321,,,,23:00,,23:00,PQC,PQC,J,,,,,,,7
1079,VN,K,,1386,2024-03-31,2024-10-26,0034060,0,184,321,,,,9:20,,9:20,DLI,DLI,J,,,3,4,,6,
1080,VN,K,1395,,2024-03-31,2024-10-26,0234560,0,184,321,UIH,UIH,11:45,,11:45,,,,J,,2,3,4,5,6,
1081,VN,K,1828,,2024-03-31,2024-05-16,1000000,0,184,321,PQC,PQC,11:45,,11:45,,,,J,1,,,,,,
1082,VN,K,,252,2024-03-31,2024-05-16,1200500,0,311,789,,,,9:40,,9:40,HAN,HAN,J,1,2,,,5,,
1083,VN,K,,106,2024-03-31,2024-05-16,0000007,0,184,321,,,,23:00,,23:00,DAD,DAD,J,,,,,,,7
1084,VN,K,115,,2024-03-31,2024-10-20,0000007,0,184,321,DAD,DAD,5:15,,5:15,,,,J,,,,,,,7
1085,VN,K,,1186,2024-03-31,2024-10-20,0000007,0,184,321,,,,11:05,,11:05,HPH,HPH,J,,,,,,,7
1086,VN,K,1187,,2024-03-31,2024-10-20,0000007,0,184,321,HPH,HPH,16:05,,16:05,,,,J,,,,,,,7
1087,VN,K,,1262,2024-03-31,2024-10-20,0000007,0,184,321,,,,0:05,,0:05,VII,VII,J,,,,,,,7
1088,VN,K,1263,,2024-03-31,2024-10-20,0000007,0,184,321,VII,VII,4:35,,4:35,,,,J,,,,,,,7
1089,VN,K,1269,,2024-03-31,2024-05-16,0000007,0,184,321,VII,VII,16:55,,16:55,,,,J,,,,,,,7
1090,VN,K,,1272,2024-03-31,2024-05-16,0000007,0,184,321,,,,23:45,,23:45,THD,THD,J,,,,,,,7
1091,VN,K,,1276,2024-03-31,2024-10-20,0000007,0,184,321,,,,5:05,,5:05,THD,THD,J,,,,,,,7
1092,VN,K,,1278,2024-03-31,2024-05-31,0000007,0,184,321,,,,11:05,,11:05,THD,THD,J,,,,,,,7
1093,VN,K,131,,2024-03-31,2024-10-20,0000007,0,184,321,DAD,DAD,9:55,,9:55,,,,J,,,,,,,7
1094,VN,K,,134,2024-03-31,2024-10-20,0000007,0,184,321,,,,8:20,,8:20,DAD,DAD,J,,,,,,,7
1095,VN,K,1341,,2024-03-31,2024-10-20,0000007,0,184,321,CXR,CXR,3:00,,3:00,,,,J,,,,,,,7
1096,VN,K,,1350,2024-03-31,2024-10-20,0000007,0,184,321,,,,11:30,,11:30,CXR,CXR,J,,,,,,,7
1097,VN,K,,1368,2024-03-31,2024-10-20,0000007,0,184,321,,,,22:50,,22:50,HUI,HUI,J,,,,,,,7
1098,VN,K,139,,2024-03-31,2024-10-20,0000007,0,184,321,DAD,DAD,13:05,,13:05,,,,J,,,,,,,7
1099,VN,K,1395,,2024-03-31,2024-10-20,0000007,0,184,321,UIH,UIH,11:45,,11:45,,,,J,,,,,,,7
1100,VN,K,1415,,2024-03-31,2024-10-20,0000007,0,203,321,BMV,BMV,14:15,,14:15,,,,J,,,,,,,7
1101,VN,K,,1422,2024-03-31,2024-10-20,0000007,0,184,321,,,,8:45,,8:45,PXU,PXU,J,,,,,,,7
1102,VN,K,,1660,2024-03-31,2024-10-20,0000007,0,203,321,,,,0:40,,0:40,TBB,TBB,J,,,,,,,7
1103,VN,K,1822,,2024-03-31,2024-10-20,0000007,0,184,321,PQC,PQC,4:35,,4:35,,,,J,,,,,,,7
1104,VN,K,,1829,2024-03-31,2024-05-16,0000007,0,184,321,,,,8:40,,8:40,PQC,PQC,J,,,,,,,7
1105,VN,K,,1835,2024-03-31,2024-10-20,0000007,0,184,321,,,,10:10,,10:10,PQC,PQC,J,,,,,,,7
1106,VN,K,,106,2024-03-31,2024-05-16,0000060,0,184,321,,,,23:00,,23:00,DAD,DAD,J,,,,,,6,
1107,VN,K,1395,,2024-03-31,2024-10-26,1000000,0,184,321,UIH,UIH,11:45,,11:45,,,,J,1,,,,,,
1108,VN,K,,1464,2024-03-31,2024-10-26,1234560,0,184,321,,,,4:55,,4:55,VCL,VCL,J,1,2,3,4,5,6,
1109,VN,K,265,,2024-03-31,2024-05-16,0000007,0,311,789,HAN,HAN,15:45,,15:45,,,,J,,,,,,,7
1110,VN,K,265,,2024-03-31,2024-05-16,0030000,0,311,789,HAN,HAN,15:45,,15:45,,,,J,,,3,,,,
1111,VN,K,,1893,2024-03-31,2024-04-06,0000007,0,68,AT7,,,,0:45,,0:45,VCS,VCS,J,,,,,,,7
1112,VN,K,,1264,2024-03-31,2024-10-20,0000007,0,184,321,,,,4:20,,4:20,VII,VII,J,,,,,,,7
1113,VN,K,1381,,2024-03-31,2024-05-16,0000007,0,184,321,DLI,DLI,2:45,,2:45,,,,J,,,,,,,7
1114,VN,K,,1286,2024-03-31,2024-06-28,1030500,0,184,321,,,,22:50,,22:50,VDO,VDO,J,1,,3,,5,,
1115,VN,K,,1354,2024-03-31,2024-05-16,0000007,0,184,321,,,,13:05,,13:05,CXR,CXR,J,,,,,,,7
1116,VN,K,,142,2024-03-31,2024-06-22,0000060,0,178,321,,,,14:15,,14:15,DAD,DAD,J,,,,,,6,
1117,VN,K,,1380,2024-03-31,2024-05-16,1200000,0,184,321,,,,0:05,,0:05,DLI,DLI,J,1,2,,,,,
1118,VN,K,,1414,2024-03-31,2024-10-26,0000007,0,203,321,,,,11:15,,11:15,BMV,BMV,J,,,,,,,7
1119,VN,K,,1468,2024-03-31,2024-10-26,0030000,0,184,321,,,,11:00,,11:00,VCL,VCL,J,,,3,,,,
1120,VN,K,,1468,2024-03-31,2024-10-26,0000500,0,184,321,,,,11:05,,11:05,VCL,VCL,J,,,,,5,,
1121,VN,K,,1278,2024-03-31,2024-10-26,1000000,0,184,321,,,,11:00,,11:00,THD,THD,J,1,,,,,,
1122,VN,K,,1893,2024-03-31,2024-10-01,0200000,0,68,AT7,,,,0:45,,0:45,VCS,VCS,J,,2,,,,,
1123,VN,K,,1468,2024-03-31,2024-10-20,0000007,0,184,321,,,,11:00,,11:00,VCL,VCL,J,,,,,,,7
1124,VN,K,,1380,2024-03-31,2024-05-16,0030500,0,184,321,,,,0:05,,0:05,DLI,DLI,J,,,3,,5,,
1125,VN,K,,256,2024-03-31,2024-05-16,0000007,0,305,359,,,,13:45,,13:45,HAN,HAN,J,,,,,,,7
1126,VN,K,1884,,2024-03-31,2024-10-26,0000500,0,68,AT7,VCS,VCS,10:45,,10:45,,,,J,,,,,5,,
1127,VN,K,1884,,2024-03-31,2024-10-26,1000000,0,68,AT7,VCS,VCS,10:45,,10:45,,,,J,1,,,,,,
1128,VN,K,,220,2024-03-31,2024-10-20,0000007,0,311,789,,,,13:00,,13:00,HAN,HAN,J,,,,,,,7
1129,VN,K,,1380,2024-03-31,2024-05-16,0004000,0,184,321,,,,0:05,,0:05,DLI,DLI,J,,,,4,,,
1130,VN,K,1381,,2024-03-31,2024-05-16,0030000,0,184,321,DLI,DLI,2:45,,2:45,,,,J,,,3,,,,
1131,VN,K,1824,,2024-03-31,2024-10-20,0000007,0,184,321,PQC,PQC,7:00,,7:00,,,,J,,,,,,,7
1132,VN,K,,1346,2024-03-31,2024-10-20,0000007,0,184,321,,,,7:10,,7:10,CXR,CXR,J,,,,,,,7
1133,VN,K,1373,,2024-03-31,2024-10-20,0000007,0,184,321,HUI,HUI,8:20,,8:20,,,,J,,,,,,,7
1134,VN,K,,110,2024-03-31,2024-10-20,0000007,0,184,321,,,,0:00,,0:00,DAD,DAD,J,,,,,,,7
1135,VN,K,,1176,2024-03-31,2024-10-20,0000007,0,184,321,,,,2:10,,2:10,HPH,HPH,J,,,,,,,7
1136,VN,K,,1176,2024-03-31,2024-10-26,0204060,0,184,321,,,,2:10,,2:10,HPH,HPH,J,,2,,4,,6,
1137,VN,K,,1378,2024-03-31,2024-09-01,0000007,0,184,321,,,,13:00,,13:00,HUI,HUI,J,,,,,,,7
1138,VN,K,,142,2024-03-31,2024-09-01,0000007,0,178,321,,,,14:15,,14:15,DAD,DAD,J,,,,,,,7
1139,VN,K,,118,2024-03-31,2024-10-20,0000007,0,184,321,,,,1:55,,1:55,DAD,DAD,J,,,,,,,7
1140,VN,K,,1823,2024-03-31,2024-10-20,0000007,0,184,321,,,,1:20,,1:20,PQC,PQC,J,,,,,,,7
1141,VN,K,1277,,2024-03-31,2024-10-20,0000007,0,184,321,THD,THD,9:50,,9:50,,,,J,,,,,,,7
1142,VN,K,1369,,2024-03-31,2024-10-26,1234560,0,184,321,HUI,HUI,2:40,,2:40,,,,J,1,2,3,4,5,6,
1143,VN,K,1858,,2024-03-31,2024-10-20,0000007,0,68,AT7,VCS,VCS,7:45,,7:45,,,,J,,,,,,,7
1144,VN,K,1826,,2024-03-31,2024-10-20,0000007,0,184,321,PQC,PQC,9:15,,9:15,,,,J,,,,,,,7
1145,VN,K,,1827,2024-03-31,2024-10-24,0000007,0,184,321,,,,6:15,,6:15,PQC,PQC,J,,,,,,,7
1146,VN,K,1369,,2024-03-31,2024-10-20,0000007,0,184,321,HUI,HUI,2:40,,2:40,,,,J,,,,,,,7
1147,VN,K,,114,2024-03-31,2024-10-20,0000007,0,184,321,,,,1:00,,1:00,DAD,DAD,J,,,,,,,7
1148,VN,K,1381,,2024-03-31,2024-05-16,0204000,0,184,321,DLI,DLI,2:45,,2:45,,,,J,,2,,4,,,
1149,VN,K,1890,,2024-03-31,2024-06-29,0000060,0,68,AT7,VCS,VCS,0:45,,0:45,,,,J,,,,,,6,
1150,VN,K,1890,,2024-03-31,2024-05-31,0000500,0,68,AT7,VCS,VCS,0:45,,0:45,,,,J,,,,,5,,
1151,VN,K,,146,2024-03-31,2024-10-20,0000007,0,184,321,,,,13:10,,13:10,DAD,DAD,J,,,,,,,7
1152,VN,K,143,,2024-03-31,2024-06-02,0000007,0,178,321,DAD,DAD,13:30,,13:30,,,,J,,,,,,,7
1153,VN,K,10,,2024-03-31,2024-10-25,0030507,0,305,359,CDG,CDG,23:30,,23:30,,,,J,,,3,,5,,7
1154,VN,K,,320,2024-03-31,2024-10-25,1234567,0,274,789,,,,17:10,,17:10,KIX,KIX,J,1,2,3,4,5,6,7
1155,VN,K,321,,2024-03-31,2024-10-26,1234567,0,274,789,KIX,KIX,7:05,,7:05,,,,J,1,2,3,4,5,6,7
1156,VN,K,,340,2024-03-31,2024-10-23,0230007,0,305,359,,,,17:05,,17:05,NGO,NGO,J,,2,3,,,,7
1157,VN,K,405,,2024-03-31,2024-10-26,1234567,0,274,789,ICN,ICN,14:15,,14:15,,,,J,1,2,3,4,5,6,7
1158,VN,K,409,,2024-03-31,2024-10-26,1234567,0,367,781,ICN,ICN,6:35,,6:35,,,,J,1,2,3,4,5,6,7
1159,VN,K,423,,2024-03-31,2024-10-26,1234567,0,184,321,PUS,PUS,6:00,,6:00,,,,J,1,2,3,4,5,6,7
1160,VN,K,,522,2024-03-31,2024-10-26,0204067,0,184,321,,,,0:25,,0:25,PVG,PVG,J,,2,,4,,6,7
1161,VN,K,523,,2024-03-31,2024-10-26,0204067,0,184,321,PVG,PVG,11:40,,11:40,,,,J,,2,,4,,6,7
1162,VN,K,,570,2024-03-31,2024-10-26,1234567,0,203,321,,,,9:30,,9:30,TPE,TPE,J,1,2,3,4,5,6,7
1163,VN,K,,580,2024-03-31,2024-10-26,1234567,0,184,321,,,,10:40,,10:40,KHH,KHH,J,1,2,3,4,5,6,7
1164,VN,K,,601,2024-03-31,2024-10-26,1234567,0,184,321,,,,1:45,,1:45,BKK,BKK,J,1,2,3,4,5,6,7
1165,VN,K,,605,2024-03-31,2024-10-26,1234567,0,184,321,,,,4:35,,4:35,BKK,BKK,J,1,2,3,4,5,6,7
1166,VN,K,630,,2024-03-31,2024-10-26,1234567,0,184,321,CGK,CGK,10:15,,10:15,,,,J,1,2,3,4,5,6,7
1167,VN,K,650,,2024-03-31,2024-10-26,1234567,0,184,321,SIN,SIN,7:40,,7:40,,,,J,1,2,3,4,5,6,7
1168,VN,K,654,,2024-03-31,2024-10-26,1234567,0,184,321,SIN,SIN,12:55,,12:55,,,,J,1,2,3,4,5,6,7
1169,VN,K,,920,2024-03-31,2024-10-26,1234567,0,184,321,,,,9:00,,9:00,PNH,PNH,J,1,2,3,4,5,6,7
1170,VN,K,99,,2024-03-31,2024-10-25,1004507,0,305,359,SFO,SFO,21:30,,21:30,,,,J,1,,,4,5,,7
1171,VN,K,,350,2024-03-31,2024-10-23,0200060,0,178,321,,,,17:15,,17:15,FUK,FUK,J,,2,,,,6,
1172,VN,K,503,,2024-03-31,2024-10-20,0000007,0,203,321,CAN,CAN,10:25,,10:25,,,,J,,,,,,,7
1173,VN,K,,408,2024-03-31,2024-10-20,0000007,0,311,789,,,,16:45,,16:45,ICN,ICN,J,,,,,,,7
1174,VN,K,,300,2024-03-31,2024-10-25,1234567,0,274,789,,,,17:15,,17:15,NRT,NRT,J,1,2,3,4,5,6,7
1175,VN,K,,631,2024-03-31,2024-10-20,0000007,0,184,321,,,,2:50,,2:50,CGK,CGK,J,,,,,,,7
1176,VN,K,,607,2024-03-31,2024-10-20,0000007,0,184,321,,,,9:55,,9:55,BKK,BKK,J,,,,,,,7
1177,VN,K,,651,2024-03-31,2024-10-20,0000007,0,184,321,,,,1:55,,1:55,SIN,SIN,J,,,,,,,7
1178,VN,K,780,,2024-03-31,2024-10-20,0000007,0,305,359,MEL,MEL,9:25,,9:25,,,,J,,,,,,,7
1179,VN,K,,502,2024-03-31,2024-10-20,0000007,0,203,321,,,,3:00,,3:00,CAN,CAN,J,,,,,,,7
1180,VN,K,,607,2024-03-31,2024-10-26,1200000,0,184,321,,,,9:55,,9:55,BKK,BKK,J,1,2,,,,,
1181,VN,K,772,,2024-03-31,2024-10-20,0000007,0,305,359,SYD,SYD,9:10,,9:10,,,,J,,,,,,,7
1182,VN,K,604,,2024-03-31,2024-10-20,0000007,0,184,321,BKK,BKK,9:15,,9:15,,,,J,,,,,,,7
1183,VN,K,,773,2024-03-31,2024-10-20,0000007,0,305,359,,,,13:45,,13:45,SYD,SYD,J,,,,,,,7
1184,VN,K,10,,2024-03-31,2024-10-25,0200000,0,305,359,CDG,CDG,23:30,,23:30,,,,J,,2,,,,,
1185,VN,K,790,,2024-03-31,2024-08-31,0004060,0,274,789,PER,PER,23:10,,23:10,,,,J,,,,4,,6,
1186,VN,K,,977,2024-03-31,2024-05-04,0204060,0,203,321,,,,11:25,,11:25,DEL,DEL,J,,2,,4,,6,
1187,VN,K,,649,2024-03-31,2024-10-26,0204067,0,184,321,,,,17:50,,17:50,MNL,MNL,J,,2,,4,,6,7
1188,VN,K,976,,2024-03-31,2024-10-26,0200000,0,203,321,DEL,DEL,23:25,,23:25,,,,J,,2,,,,,
1189,VN,K,648,,2024-03-31,2024-10-26,0204067,0,184,321,MNL,MNL,23:50,,23:50,,,,J,,2,,4,,6,7
1190,VN,K,,791,2024-03-31,2024-10-26,0004060,0,274,789,,,,8:50,,8:50,PER,PER,J,,,,4,,6,
1191,VN,K,341,,2024-03-31,2024-10-20,0000007,0,184,321,NGO,NGO,5:45,,5:45,,,,J,,,,,,,7
1192,VN,K,790,,2024-03-31,2024-04-29,1000000,0,274,789,PER,PER,23:10,,23:10,,,,J,1,,,,,,
1193,VN,K,301,,2024-03-31,2024-10-20,1234567,0,274,789,NRT,NRT,6:30,,6:30,,,,J,1,2,3,4,5,6,7
1194,VN,K,,404,2024-03-31,2024-10-26,1234567,0,274,789,,,,2:30,,2:30,ICN,ICN,J,1,2,3,4,5,6,7
1195,VN,K,351,,2024-03-31,2024-10-24,0000007,0,178,321,FUK,FUK,6:20,,6:20,,,,J,,,,,,,7
1196,VN,K,600,,2024-03-31,2024-10-26,1234567,0,184,321,BKK,BKK,6:10,,6:10,,,,J,1,2,3,4,5,6,7
1197,VN,K,606,,2024-03-31,2024-10-26,1234567,0,184,321,BKK,BKK,14:20,,14:20,,,,J,1,2,3,4,5,6,7
1198,VN,K,5676,,2024-03-31,2024-10-26,1234567,0,184,321,KUL,KUL,6:45,,6:45,,,,J,1,2,3,4,5,6,7
1199,VN,K,,5677,2024-03-31,2024-10-20,1234567,0,184,321,,,,1:15,,1:15,KUL,KUL,J,1,2,3,4,5,6,7
1200,VN,K,,422,2024-03-31,2024-10-20,1234567,0,305,359,,,,18:00,,18:00,PUS,PUS,J,1,2,3,4,5,6,7
1201,VN,K,812,,2024-03-31,2024-10-26,1234567,0,184,321,SAI,SAI,12:35,,12:35,,,,J,1,2,3,4,5,6,7
1202,VN,K,814,,2024-03-31,2024-10-26,1234567,0,184,321,SAI,SAI,15:50,,15:50,,,,J,1,2,3,4,5,6,7
1203,VN,K,,815,2024-03-31,2024-10-26,1234567,0,184,321,,,,12:30,,12:30,SAI,SAI,J,1,2,3,4,5,6,7
1204,VN,K,,813,2024-03-31,2024-10-26,1234567,0,203,321,,,,9:25,,9:25,SAI,SAI,J,1,2,3,4,5,6,7
1205,VN,K,,979,2024-03-31,2024-10-26,1030500,0,203,321,,,,10:55,,10:55,BOM,BOM,J,1,,3,,5,,
1206,VN,K,978,,2024-03-31,2024-10-26,1030500,0,203,321,BOM,BOM,23:00,,23:00,,,,J,1,,3,,5,,
1207,VN,K,,31,2024-03-31,2024-10-26,0230567,0,274,789,,,,15:55,,15:55,FRA,FRA,J,,2,3,,5,6,7
1208,VN,K,8050,,2024-03-31,2024-10-26,0200507,0,274,789,LHR,LHR,21:55,,21:55,,,,J,,2,,,5,,7
1209,VN,K,,8051,2024-03-31,2024-10-26,1004060,0,274,789,,,,17:00,,17:00,LHR,LHR,J,1,,,4,,6,
1210,VN,K,,11,2024-03-31,2024-10-26,1204060,0,305,359,,,,15:50,,15:50,CDG,CDG,J,1,2,,4,,6,
1211,VN,K,,781,2024-03-31,2024-10-26,0000007,0,305,359,,,,14:15,,14:15,MEL,MEL,J,,,,,,,7
1212,VN,K,,781,2024-03-31,2024-06-05,0030000,0,305,359,,,,14:15,,14:15,MEL,MEL,J,,,3,,,,
1213,VN,K,,781,2024-03-31,2024-05-30,0004000,0,305,359,,,,14:15,,14:15,MEL,MEL,J,,,,4,,,
1214,VN,K,,781,2024-03-31,2024-05-31,0000500,0,305,359,,,,14:15,,14:15,MEL,MEL,J,,,,,5,,
1215,VN,K,,791,2024-03-31,2024-10-26,1000000,0,274,789,,,,9:00,,9:00,PER,PER,J,1,,,,,,
1216,VN,K,,5098,2024-03-31,2024-10-24,0034067,0,305,359,,,,10:25,,10:25,SFO,SFO,J,,,3,4,,6,7
1217,VN,K,,98,2024-03-31,2024-10-20,0034067,0,305,359,,,,11:30,,11:30,SFO,SFO,J,,,3,4,,6,7
1218,VN,K,676,,2024-03-31,2024-10-26,1000000,0,184,321,KUL,KUL,15:05,,15:05,,,,J,1,,,,,,
1219,VN,K,676,,2024-03-31,2024-10-26,0000500,0,184,321,KUL,KUL,15:05,,15:05,,,,J,,,,,5,,
1220,VN,K,676,,2024-03-31,2024-10-26,0030060,0,184,321,KUL,KUL,14:40,,14:40,,,,J,,,3,,,6,
1221,VN,K,,677,2024-03-31,2024-10-26,1030560,0,184,321,,,,9:10,,9:10,KUL,KUL,J,1,,3,,5,6,
1222,VN,K,,781,2024-03-31,2024-06-22,0000060,0,305,359,,,,14:15,,14:15,MEL,MEL,J,,,,,,6,
1223,VN,K,,781,2024-03-31,2024-09-03,0200000,0,305,359,,,,14:15,,14:15,MEL,MEL,J,,2,,,,,
1224,VN,K,,655,2024-03-31,2024-10-20,0000007,0,184,321,,,,7:20,,7:20,SIN,SIN,J,,,,,,,7
1225,VN,K,341,,2024-03-31,2024-10-26,0000060,0,184,321,NGO,NGO,5:45,,5:45,,,,J,,,,,,6,
1226,VN,K,30,,2024-03-31,2024-04-14,1000000,0,274,789,FRA,FRA,0:35,,0:35,,,,U,1,,,,,,
1227,VN,K,,49,2024-04-01,2024-10-25,0004000,0,280,332,,,,16:45,,16:45,MUC,MUC,J,,,,4,,,
1228,VN,K,,781,2024-04-01,2024-06-03,1000000,0,305,359,,,,14:15,,14:15,MEL,MEL,J,1,,,,,,
1229,VN,K,,340,2024-04-01,2024-10-26,0000060,0,305,359,,,,17:05,,17:05,NGO,NGO,J,,,,,,6,
1230,VN,K,341,,2024-04-01,2024-10-26,1000000,0,184,321,NGO,NGO,5:45,,5:45,,,,J,1,,,,,,
1231,VN,K,921,,2024-04-01,2024-10-20,0000007,0,184,321,PNH,PNH,8:25,,8:25,,,,J,,,,,,,7
